sensors.id,sensors.carId,sensors.carLocation,sensors.timeValue,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.altitude,sensors.tags,sensors.classification
9799,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:48:18,3.8,8.4,21.4872265625,16209,67.70491689989534,1018.1811208516734,-40.974300248693865,"Não existência de fumo, vidros fechados, AC desligado",0
9798,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:45:57,3.6,8.3,21.43546875,17007,67.81939916841651,1018.1644570453476,-40.83610605372589,"Não existência de fumo, vidros fechados, AC desligado",0
9797,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:44:46,3.3,9.7,21.4024609375,17873,67.88235789670654,1018.1581297601867,-40.7836329238979,"Não existência de fumo, vidros fechados, AC desligado",0
9796,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:43:52,3.1,8.3,21.3747265625,19076,67.89845857058536,1018.1743681594008,-40.91829988619038,"Não existência de fumo, vidros fechados, AC desligado",0
9795,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:43:15,3.3,8.3,21.3665234375,8351,67.84948713377504,1018.1400276310777,-40.63350777957943,"Não existência de fumo, vidros fechados, AC desligado",0
9794,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:43:05,3.3,8.4,21.367109375,16426,67.93133639588902,1018.1409990990156,-40.641564442801844,"Não existência de fumo, vidros fechados, AC desligado",0
9793,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:42:01,3.2,8.2,21.337421875,16813,67.89943666863522,1018.1194299953353,-40.462684192762424,"Não existência de fumo, vidros fechados, AC desligado",0
9792,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:41:22,3.4,7.8,21.33546875,17368,67.89913121342373,1018.1161917264524,-40.435827811979706,"Não existência de fumo, vidros fechados, AC desligado",0
9791,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:40:26,3.3,8.5,21.32921875,18093,67.88452795993075,1018.119654919902,-40.464549588036405,"Não existência de fumo, vidros fechados, AC desligado",0
9790,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:38:53,3.7,8.8,21.310859375,19428,67.90209607283828,1018.0892150099733,-40.21209541014456,"Não existência de fumo, vidros fechados, AC desligado",0
9789,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:35:47,3.5,10.7,21.2966015625,9072,67.87261669528725,1018.0690319083556,-40.044702966802475,"Não existência de fumo, vidros fechados, AC desligado",0
9788,66-ZZ-66,41.5608 -8.3968,2020-12-22 19:35:36,3.5,10.5,21.2958203125,18816,67.93381230156682,1018.0642803788237,-40.0052948500605,"Não existência de fumo, vidros fechados, AC desligado",0
