,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.classification
0,661.4,1334.4,22.0176953125,26584,55.019329827314216,1011.4664736134906,1
1,391.3,514.1,22.0192578125,25556,55.32044682155324,1011.4846123544086,1
2,391.3,514.1,22.0196484375,24783,55.19239586093085,1011.495633263484,1
3,391.3,514.1,22.017109375,22864,55.23047524429978,1011.5052910903144,1
4,391.3,514.1,22.01359375,22198,55.09555903491615,1011.5012338406374,1
5,391.3,514.1,22.00421875,21341,55.20312078295969,1011.52039445767,1
6,391.3,514.1,21.9930859375,20529,55.70172067399148,1011.5383901073068,1
7,391.3,514.1,21.97453125,19549,56.0333197791141,1011.5562734960561,1
8,391.3,514.1,21.9481640625,18595,56.764220321544286,1011.552645465043,1
9,391.3,514.1,21.9173046875,17659,56.70833938022622,1011.5589129819084,1
10,391.3,514.1,21.8907421875,16750,56.543432207924525,1011.5636034385319,1
11,391.3,514.1,21.8661328125,15725,56.52071501043036,1011.5645890747951,1
12,497.1,861.9,21.8446484375,14642,56.44687282748559,1011.572446385184,1
13,497.1,861.9,21.824921875,13767,57.06375518348054,1011.5745497304766,1
14,497.1,861.9,21.806953125,12620,57.61798852460904,1011.5691710290904,1
15,497.1,861.9,21.7848828125,10987,57.47235765977361,1011.5691408534128,1
16,497.1,861.9,21.767109375,9983,56.64899011227044,1011.5588940817528,1
17,497.1,861.9,21.752265625,9034,56.95679696038101,1011.5482837613248,1
18,497.1,861.9,21.7407421875,8029,56.58088420784786,1011.5500559489765,1
19,497.1,861.9,21.731171875,6903,56.48288374759223,1011.54294144495,1
20,497.1,861.9,21.724140625,5612,56.46903310686539,1011.5261768038727,1
21,497.1,861.9,21.719453125,4713,56.77148361540719,1011.537475551091,1
22,497.1,861.9,21.713203125,3841,57.55958975835363,1011.5444722374797,1
23,726.4,1682.2,18.581171875,20605,67.02104363620539,1010.7911195001898,1
24,726.4,1682.2,18.6376171875,20682,66.75223879856013,1010.7897043697564,1
25,726.4,1682.2,18.7005078125,19531,66.71439019201267,1010.7868722473593,1
26,726.4,1682.2,18.774140625,18689,66.7863223677463,1010.7828278756274,1
27,726.4,1682.2,18.848359375,18048,66.73666369873285,1010.7934947237783,1
28,726.4,1682.2,18.933515625,17519,66.18232508323887,1010.7929322332325,1
29,620.1,1209.8,19.02921875,16686,65.85301582420902,1010.8011379419116,1
30,620.1,1209.8,19.1450390625,16674,65.13087236708846,1010.8046251923172,1
31,620.1,1209.8,19.2926953125,15614,64.73038026446565,1010.810641838488,1
32,620.1,1209.8,19.430390625,14848,64.60343699718116,1010.8139118410066,1
33,620.1,1209.8,19.5719921875,14020,64.28984057056786,1010.8097582039444,1
34,620.1,1209.8,19.715546875,12832,63.8100871081866,1010.8035645076587,1
35,620.1,1209.8,19.8721875,10836,63.72641185224003,1010.8102359993227,1
36,620.1,1209.8,20.0008984375,9753,63.47869224168393,1010.8069617164236,1
37,620.1,1209.8,20.13234375,8538,63.04535623461644,1010.8167428050264,1
38,620.1,1209.8,20.2583203125,7168,62.96407692430454,1010.810537278608,1
39,620.1,1209.8,20.3637890625,5711,61.93168725222014,1010.8015144174899,1
41,616.3,1216.9,19.3059765625,22700,63.17738674532614,1010.9806792128154,1
42,616.3,1216.9,19.3368359375,21362,62.94930185835439,1010.9782128614212,1
43,616.3,1216.9,19.38078125,20644,63.64092865146102,1010.978388789444,1
44,616.3,1216.9,19.41125,19226,64.13914394017182,1010.9804350882528,1
45,616.3,1216.9,19.439375,18108,64.29031394510464,1010.9837781640382,1
46,616.3,1216.9,19.4618359375,17773,63.34644278404368,1010.9915541564417,1
47,616.3,1216.9,19.4971875,18004,63.171989332315576,1010.9964785094443,1
48,616.3,1216.9,19.5352734375,20453,62.67276886576144,1011.0076324195312,1
49,616.3,1216.9,19.5825390625,24214,62.60002959688591,1011.0115266444465,1
50,446.2,695.2,19.6321484375,28086,62.84611447319061,1011.0037691687286,1
51,446.2,695.2,19.685859375,26794,63.44578149896389,1011.0027657707464,1
52,446.2,695.2,19.7253125,26098,63.35168532170394,1010.9954649670852,1
53,446.2,695.2,19.7571484375,25512,62.51925060725618,1010.9979981154199,1
54,446.2,695.2,19.792890625,25235,62.550958439455115,1010.9914573474024,1
55,446.2,695.2,19.8440625,24783,62.68443128591336,1010.9948454199257,1
56,446.2,695.2,19.876875,25207,62.49021113923399,1010.9972489447968,1
57,446.2,695.2,19.9114453125,24673,62.356042114350096,1010.99392711028,1
58,446.2,695.2,19.9426953125,24618,62.632423103967774,1010.9989163415463,1
59,446.2,695.2,19.9610546875,24135,63.09343281930391,1011.0085050826207,1
60,442.4,555.1,19.9784375,24374,63.40877601857027,1011.006137451924,1
61,442.4,555.1,19.9934765625,22723,63.79098816875685,1010.9930065219113,1
62,442.4,555.1,20.0106640625,22310,63.4668024977098,1010.9903137677477,1
63,442.4,555.1,20.0317578125,22198,62.30060938342093,1010.9957852693924,1
