sensor1.id,sensor1.carId,sensor1.carLocation,sensor1.timeValue,sensor1.pm25,sensor1.pm10
15,VP-35-44,41.5608 -8.3968,2020-11-20 14:30:59,2.4,5.5
14,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:31,2.3,4.5
13,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:20,2.3,4.5
12,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:10,2.3,4.5
11,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:56,2.5,4.8
10,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:45,2.3,5.3
9,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:34,2.3,5.3
8,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:24,2.3,5.3
7,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:13,2.3,5.3
6,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:02,2.3,5.3
5,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:51,2.3,5.3
4,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:40,2.6,5.2
3,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:29,2.6,5.2
2,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:17,2.6,5.2
1,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:06,2.6,5.2
