,sensor1.id,sensor1.carId,sensor1.carLocation,sensor1.timeValue,sensor1.pm25,sensor1.pm10,sensor2.temperature,sensor2.gas,sensor2.humidity,sensor2.pressure,sensor2.altitude
0,15,VP-35-44,41.5608 -8.3968,2020-11-20 14:30:59,2.4,5.5,23.7895703125,13287,45.059779626866856,1005.0084783285076,68.84336752746015
1,14,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:31,2.3,4.5,23.7782421875,4933,45.62964846501589,1005.1183035722072,67.92297139671682
2,13,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:20,2.3,4.5,23.7753125,3654,45.64147583159657,1005.085777401294,68.19555016565269
3,12,VP-35-44,41.5608 -8.3968,2020-11-20 14:22:10,2.3,4.5,23.7743359375,12839,45.79360377703148,1005.0945871735428,68.12172100757282
4,11,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:56,2.5,4.8,23.110859375,11086,47.5624878702903,1007.0656094162939,51.61698079028883
5,10,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:45,2.3,5.3,23.10890625,10506,47.53765530755625,1007.0693417549057,51.58575214378392
6,9,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:34,2.3,5.3,23.10578125,9634,47.59262010932206,1007.0694235810573,51.58506750171247
7,8,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:24,2.3,5.3,23.103828125,8769,47.604683841384755,1007.0731558350677,51.55383965883408
8,7,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:13,2.3,5.3,23.100703125,7851,47.58585303435329,1007.0784344437727,51.509673595735904
9,6,VP-35-44,41.5608 -8.3968,2020-11-20 11:52:02,2.3,5.3,23.097578125,6969,47.610075166495406,1007.0819806759984,51.480002413540575
10,5,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:51,2.3,5.3,23.0930859375,6012,47.61568021730936,1007.0850211774263,51.45456272792135
11,4,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:40,2.6,5.2,23.0883984375,4977,47.66432520845058,1007.087741840397,51.431799163431634
12,3,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:29,2.6,5.2,23.08390625,4167,47.706852620414026,1007.0873175823137,51.43534889282604
13,2,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:17,2.6,5.2,23.08078125,3276,47.78033709561811,1007.0925956847497,51.39118756849364
14,1,VP-35-44,41.5608 -8.3968,2020-11-20 11:51:06,2.6,5.2,23.080390625,7112,47.84186713189951,1007.1006174505832,51.32407066180376
